total_steps,episode,target,success,episode_reward,episode_steps,policy_loss,value_loss,entropy
23,1,refrigerator,0,11.7322,23,0.0000,0.0000,0.0000
41,2,microwave,0,1.8771,18,0.0000,0.0000,0.0000
60,3,refrigerator,0,13.2137,19,0.0000,0.0000,0.0000
77,4,refrigerator,0,3.0620,17,0.0000,0.0000,0.0000
94,5,microwave,0,1.7851,17,0.0000,0.0000,0.0000
118,6,refrigerator,0,11.0435,24,0.0000,0.0000,0.0000
143,7,toaster,0,2.1329,25,0.0000,0.0000,0.0000
164,8,sink,0,12.6620,21,0.0000,0.0000,0.0000
180,9,toaster,0,0.2004,16,0.0000,0.0000,0.0000
200,10,microwave,0,4.0017,20,0.0000,0.0000,0.0000
222,11,refrigerator,0,4.9929,22,0.0000,0.0000,0.0000
245,12,refrigerator,0,4.3996,23,0.0000,0.0000,0.0000
262,13,sink,1,11.0437,17,0.0000,0.0000,0.0000
277,14,refrigerator,0,2.8471,15,0.0000,0.0000,0.0000
294,15,sink,0,-0.8345,17,0.0000,0.0000,0.0000
309,16,microwave,0,5.4690,15,0.0000,0.0000,0.0000
330,17,microwave,0,4.3888,21,0.0000,0.0000,0.0000
349,18,microwave,0,1.8890,19,0.0000,0.0000,0.0000
367,19,sink,0,7.7399,18,0.0000,0.0000,0.0000
393,20,microwave,0,9.7881,26,0.0000,0.0000,0.0000
409,21,microwave,0,1.8540,16,0.0000,0.0000,0.0000
429,22,microwave,0,2.4344,20,0.0000,0.0000,0.0000
456,23,microwave,0,1.2476,27,0.0000,0.0000,0.0000
474,24,sink,0,8.2204,18,0.0000,0.0000,0.0000
493,25,sink,0,1.5514,19,0.0000,0.0000,0.0000
512,26,refrigerator,0,6.1441,19,0.0000,0.0000,0.0000
535,27,sink,1,16.2613,23,0.0000,0.0000,0.0000
561,28,sink,0,6.5692,26,0.0000,0.0000,0.0000
583,29,toaster,0,0.2036,22,0.0000,0.0000,0.0000
604,30,sink,0,4.8516,21,0.0000,0.0000,0.0000
627,31,sink,0,1.7454,23,0.0000,0.0000,0.0000
647,32,toaster,0,-0.4118,20,0.0000,0.0000,0.0000
664,33,microwave,0,1.6902,17,0.0000,0.0000,0.0000
680,34,refrigerator,0,4.6253,16,0.0000,0.0000,0.0000
700,35,microwave,0,2.4463,20,0.0000,0.0000,0.0000
716,36,refrigerator,0,2.8409,16,0.0000,0.0000,0.0000
731,37,toaster,0,-0.4680,15,0.0000,0.0000,0.0000
746,38,refrigerator,0,2.9685,15,0.0000,0.0000,0.0000
768,39,sink,1,12.0773,22,0.0000,0.0000,0.0000
784,40,sink,0,0.4125,16,0.0000,0.0000,0.0000
799,41,toaster,0,0.3791,15,0.0000,0.0000,0.0000
815,42,microwave,0,2.1314,16,0.0000,0.0000,0.0000
833,43,sink,0,0.2712,18,0.0000,0.0000,0.0000
848,44,microwave,0,2.8739,15,0.0000,0.0000,0.0000
871,45,microwave,0,1.5766,23,0.0000,0.0000,0.0000
887,46,refrigerator,0,1.4535,16,0.0000,0.0000,0.0000
903,47,toaster,0,0.0473,16,0.0000,0.0000,0.0000
918,48,sink,0,-0.4079,15,0.0000,0.0000,0.0000
940,49,refrigerator,0,9.6163,22,0.0000,0.0000,0.0000
958,50,refrigerator,0,8.5518,18,0.0000,0.0000,0.0000
980,51,refrigerator,0,1.1995,22,0.0000,0.0000,0.0000
995,52,microwave,0,0.8543,15,0.0000,0.0000,0.0000
1010,53,microwave,1,8.2613,15,0.0000,0.0000,0.0000
1025,54,toaster,0,0.4123,15,-0.0094,3.1464,1.7845
1045,55,microwave,1,7.8260,20,-0.0094,3.1464,1.7845
1061,56,sink,0,9.5013,16,-0.0094,3.1464,1.7845
1082,57,toaster,0,0.5959,21,-0.0094,3.1464,1.7845
1100,58,microwave,0,1.2324,18,-0.0094,3.1464,1.7845
1129,59,refrigerator,0,7.4079,29,-0.0094,3.1464,1.7845
1148,60,microwave,1,8.4588,19,-0.0094,3.1464,1.7845
1178,61,refrigerator,0,6.8355,30,-0.0094,3.1464,1.7845
1197,62,microwave,0,2.1037,19,-0.0094,3.1464,1.7845
1217,63,sink,0,0.5709,20,-0.0094,3.1464,1.7845
1233,64,microwave,0,2.6239,16,-0.0094,3.1464,1.7845
1249,65,microwave,0,0.7557,16,-0.0094,3.1464,1.7845
1275,66,toaster,0,3.3763,26,-0.0094,3.1464,1.7845
1298,67,toaster,0,-0.1865,23,-0.0094,3.1464,1.7845
1324,68,refrigerator,0,14.1031,26,-0.0094,3.1464,1.7845
1350,69,toaster,1,6.6160,26,-0.0094,3.1464,1.7845
1370,70,refrigerator,0,9.5358,20,-0.0094,3.1464,1.7845
1390,71,toaster,0,2.3552,20,-0.0094,3.1464,1.7845
1412,72,microwave,0,5.5984,22,-0.0094,3.1464,1.7845
1427,73,toaster,0,1.1479,15,-0.0094,3.1464,1.7845
1443,74,microwave,0,2.9670,16,-0.0094,3.1464,1.7845
1465,75,microwave,0,2.7092,22,-0.0094,3.1464,1.7845
1481,76,refrigerator,0,5.0751,16,-0.0094,3.1464,1.7845
1499,77,refrigerator,0,1.7774,18,-0.0094,3.1464,1.7845
1518,78,microwave,0,0.7478,19,-0.0094,3.1464,1.7845
1534,79,toaster,0,-0.2940,16,-0.0094,3.1464,1.7845
1564,80,refrigerator,0,4.6720,30,-0.0094,3.1464,1.7845
1582,81,refrigerator,0,3.4141,18,-0.0094,3.1464,1.7845
1601,82,toaster,0,-0.0253,19,-0.0094,3.1464,1.7845
1616,83,toaster,0,0.8272,15,-0.0094,3.1464,1.7845
1637,84,sink,0,2.5856,21,-0.0094,3.1464,1.7845
1657,85,refrigerator,0,9.5395,20,-0.0094,3.1464,1.7845
1672,86,refrigerator,0,8.4941,15,-0.0094,3.1464,1.7845
1696,87,microwave,1,8.8019,24,-0.0094,3.1464,1.7845
1724,88,refrigerator,0,8.3926,28,-0.0094,3.1464,1.7845
1739,89,refrigerator,0,6.5745,15,-0.0094,3.1464,1.7845
1756,90,refrigerator,0,4.3105,17,-0.0094,3.1464,1.7845
1772,91,refrigerator,0,6.1082,16,-0.0094,3.1464,1.7845
1789,92,sink,1,15.6058,17,-0.0094,3.1464,1.7845
1806,93,sink,0,5.4679,17,-0.0094,3.1464,1.7845
1824,94,toaster,0,1.8067,18,-0.0094,3.1464,1.7845
1840,95,toaster,0,0.1343,16,-0.0094,3.1464,1.7845
1870,96,refrigerator,0,16.8314,30,-0.0094,3.1464,1.7845
1902,97,refrigerator,0,10.1017,32,-0.0094,3.1464,1.7845
1917,98,microwave,0,3.1218,15,-0.0094,3.1464,1.7845
1938,99,microwave,0,4.6831,21,-0.0094,3.1464,1.7845
1956,100,microwave,0,2.7757,18,-0.0094,3.1464,1.7845
1973,101,microwave,0,2.1852,17,-0.0094,3.1464,1.7845
1992,102,sink,0,4.0558,19,-0.0094,3.1464,1.7845
2010,103,sink,0,-0.4186,18,-0.0094,3.1464,1.7845
2027,104,sink,0,0.7256,17,-0.0094,3.1464,1.7845
2042,105,microwave,0,2.0509,15,-0.0094,3.1464,1.7845
2066,106,microwave,0,4.8319,24,-0.0074,3.7216,1.7723
2083,107,sink,0,1.3534,17,-0.0074,3.7216,1.7723
2105,108,sink,1,17.0964,22,-0.0074,3.7216,1.7723
2122,109,toaster,0,-0.1856,17,-0.0074,3.7216,1.7723
2138,110,refrigerator,0,8.9394,16,-0.0074,3.7216,1.7723
2156,111,sink,0,1.2809,18,-0.0074,3.7216,1.7723
2178,112,toaster,0,0.2773,22,-0.0074,3.7216,1.7723
2193,113,refrigerator,0,5.5079,15,-0.0074,3.7216,1.7723
2209,114,refrigerator,0,6.5147,16,-0.0074,3.7216,1.7723
2231,115,microwave,0,4.3883,22,-0.0074,3.7216,1.7723
2248,116,refrigerator,0,4.2900,17,-0.0074,3.7216,1.7723
2263,117,refrigerator,0,-0.2561,15,-0.0074,3.7216,1.7723
2293,118,microwave,0,5.9004,30,-0.0074,3.7216,1.7723
2308,119,toaster,0,0.5191,15,-0.0074,3.7216,1.7723
2324,120,microwave,0,3.2646,16,-0.0074,3.7216,1.7723
2353,121,refrigerator,0,4.6360,29,-0.0074,3.7216,1.7723
2368,122,toaster,0,0.8595,15,-0.0074,3.7216,1.7723
2390,123,microwave,0,1.8844,22,-0.0074,3.7216,1.7723
2407,124,refrigerator,0,2.0149,17,-0.0074,3.7216,1.7723
2431,125,microwave,0,6.1956,24,-0.0074,3.7216,1.7723
2447,126,sink,1,13.4058,16,-0.0074,3.7216,1.7723
2468,127,refrigerator,0,5.0713,21,-0.0074,3.7216,1.7723
2485,128,sink,0,5.8916,17,-0.0074,3.7216,1.7723
2501,129,sink,0,0.3988,16,-0.0074,3.7216,1.7723
2520,130,toaster,0,-0.4688,19,-0.0074,3.7216,1.7723
2546,131,refrigerator,0,2.8132,26,-0.0074,3.7216,1.7723
2563,132,microwave,0,3.2125,17,-0.0074,3.7216,1.7723
2583,133,refrigerator,0,5.5158,20,-0.0074,3.7216,1.7723
2606,134,toaster,0,0.0872,23,-0.0074,3.7216,1.7723
2627,135,toaster,1,7.3902,21,-0.0074,3.7216,1.7723
2655,136,refrigerator,0,13.8060,28,-0.0074,3.7216,1.7723
2670,137,microwave,0,4.2390,15,-0.0074,3.7216,1.7723
2687,138,toaster,0,0.1845,17,-0.0074,3.7216,1.7723
2714,139,microwave,0,4.2078,27,-0.0074,3.7216,1.7723
2736,140,refrigerator,0,3.9095,22,-0.0074,3.7216,1.7723
2773,141,sink,0,4.4363,37,-0.0074,3.7216,1.7723
2795,142,sink,0,1.7621,22,-0.0074,3.7216,1.7723
2825,143,toaster,1,7.2732,30,-0.0074,3.7216,1.7723
2847,144,microwave,1,13.2879,22,-0.0074,3.7216,1.7723
2890,145,toaster,0,0.3055,43,-0.0074,3.7216,1.7723
2910,146,sink,0,2.5967,20,-0.0074,3.7216,1.7723
2931,147,refrigerator,0,8.5827,21,-0.0074,3.7216,1.7723
2954,148,microwave,0,7.1042,23,-0.0074,3.7216,1.7723
2970,149,sink,0,1.6993,16,-0.0074,3.7216,1.7723
2989,150,toaster,0,-0.1019,19,-0.0074,3.7216,1.7723
